location,age_group,forecast_date,target_end_date,horizon,type,quantile,value
DE,00+,2023-12-07,2023-12-10,1,quantile,0.025,4546.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.1,6834.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.25,9487.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.5,13183.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.75,17741.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.9,22631.0
DE,00+,2023-12-07,2023-12-10,1,quantile,0.975,29031.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.025,5172.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.1,7555.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.25,10268.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.5,13993.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.75,18531.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.9,23357.0
DE,00+,2023-12-07,2023-12-17,2,quantile,0.975,29628.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.025,6354.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.1,8727.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.25,11323.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.5,14778.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.75,18875.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.9,23146.0
DE,00+,2023-12-07,2023-12-24,3,quantile,0.975,28602.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.025,7598.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.1,9766.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.25,12039.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.5,14960.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.75,18321.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.9,21739.0
DE,00+,2023-12-07,2023-12-31,4,quantile,0.975,26019.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.025,375.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.1,797.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.25,1410.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.5,2416.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.75,3824.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.9,5474.0
DE,00-04,2023-12-07,2023-12-10,1,quantile,0.975,7780.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.025,565.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.1,1043.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.25,1676.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.5,2650.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.75,3948.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.9,5422.0
DE,00-04,2023-12-07,2023-12-17,2,quantile,0.975,7434.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.025,807.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.1,1316.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.25,1939.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.5,2842.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.75,3993.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.9,5257.0
DE,00-04,2023-12-07,2023-12-24,3,quantile,0.975,6942.0
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.025,787.0
DE,00-04,2023-12-07,2023-12-31,4,quantile,0.1,1263.0
